street_name,street_type,lamp_type,longitude,latitude,wattage
Churchill (University),Avenue,MV,147.324593632559,-42.9027181578282,80.0
Commercial,Road,CFL,147.312199036759,-42.8699254024991,42.0
Giblin,Street,HPS,147.296522393101,-42.8624548167936,100.0
Park,Street,LED,147.31027085172,-42.8562176131422,18.0
Shirley,Boulevard,LED,147.282744900638,-42.8656807679632,18.0
Susan,Parade,LED,147.284239098555,-42.8665604515731,18.0
Susan,Parade,LED,147.283281904374,-42.8673020322877,18.0
Susan,Parade,LED,147.283441147307,-42.8679349532976,18.0
Athleen,Avenue,LED,147.285638535077,-42.8658074132462,18.0
Lenah Valley,Road,HPS,147.286055020503,-42.8614134542864,150.0
Creek,Road,HPS,147.289183538752,-42.8611347996033,150.0
Creek,Road,HPS,147.289147936828,-42.8599748148002,150.0
Creek,Road,HPS,147.2893587213,-42.8593421910389,150.0
Creek,Road,HPS,147.289654083217,-42.859052364943,150.0
Creek,Road,HPS,147.29027026415,-42.8586044205196,150.0
Creek,Road,HPS,147.294706822848,-42.8549545465499,150.0
Alwyn,Road,CFL,147.281090371901,-42.8585287981572,42.0
Monash,Avenue,LED,147.281736427607,-42.8592332261878,18.0
Monash,Avenue,CFL,147.28175167145,-42.859656807194,42.0
Stratton,Avenue,LED,147.277740906844,-42.8602107970845,18.0
Baldwin,Place,LED,147.277685394443,-42.8593476742882,18.0
Girrabong,Road,LED,147.276458651485,-42.8576419581184,18.0
Firth,Road,LED,147.279319646896,-42.8590456235332,14.0
Cowley,Place,CFL,147.280531859633,-42.859240596472,42.0
Alcides,Avenue,LED,147.28077590125,-42.8631815287015,18.0
Girrabong,Road,LED,147.280678002992,-42.8617649019204,18.0
Pottery,Road,LED,147.286982946659,-42.8684503013836,18.0
McRobies,Road,LED,147.29464744648,-42.8930450639184,18.0
Huon,Road,LED,147.284723331613,-42.9045012760451,18.0
Suncrest,Avenue,LED,147.290980171359,-42.8639246252894,18.0
Yelgun,Place,LED,147.28026730956,-42.8625256040869,18.0
Creek,Road,HPS,147.288981572365,-42.8623794971135,150.0
Daly,Street,LED,147.275571768074,-42.8640962961881,14.0
Broadby,Drive,CFL,147.287690308144,-42.8724196774526,42.0
Cuthbertson,Place,CFL,147.287544821779,-42.8714837545249,42.0
Alwyn,Road,CFL,147.282304592258,-42.8614896542444,42.0
Pottery,Road,HPS,147.288770654601,-42.8630679530352,150.0
Doyle,Avenue,HPS,147.294971586878,-42.867845861776,250.0
Rosehill,Crescent,LED,147.287940565584,-42.8694678360967,18.0
Creek,Road,HPS,147.293406647594,-42.8557012830459,150.0
Keith White,Crescent,LED,147.294160153182,-42.8723543749775,18.0
Sharps,Road,LED,147.284511579396,-42.8627309120983,18.0
Sharps,Road,LED,147.283658376408,-42.8632206659703,18.0
Truman,Avenue,LED,147.289981450719,-42.863771457516,18.0
Nursery,Court,LED,147.282546585944,-42.8720195043894,18.0
Augusta,Road,HPS,147.293939879682,-42.8648144789286,150.0
Creek (St Johns Pk),Road,LED,147.294940032868,-42.8549860139621,18.0
Lenah Valley,Road,LED,147.269875622009,-42.8666879812543,18.0
Kalang,Avenue,HPS,147.279652495841,-42.8613129947815,150.0
Kalang,Avenue,LED,147.276307802166,-42.8622434471387,18.0
Lenah Valley,Road,HPS,147.285549762477,-42.861420830099,150.0
Lenah Valley,Road,LED,147.278049752728,-42.8658071649084,18.0
Lenah Valley,Road,HPS,147.278049752768,-42.8658071739135,400.0
Susan,Parade,LED,147.284486490733,-42.8661635592144,18.0
Alwyn,Road,HPS,147.283124636144,-42.8595832690714,150.0
Stratton,Avenue,LED,147.276824779995,-42.8605091641207,18.0
Stratton,Avenue,LED,147.276888265556,-42.8601428910056,18.0
Pickard,Street,LED,147.293937136524,-42.8625512477543,18.0
