id,street_name,street_type,lamp_type,longitude,latitude,wattage
1,Churchill (University),Avenue,MV,147.324593632559,-42.9027181578282,80
2,Commercial,Road,CFL,147.312199036759,-42.8699254024991,42
3,Giblin,Street,HPS,147.296522393101,-42.8624548167936,100
4,Park,Street,LED,147.31027085172,-42.8562176131422,18
5,Shirley,Boulevard,LED,147.282744900638,-42.8656807679632,18
6,Susan,Parade,LED,147.284239098555,-42.8665604515731,18
7,Susan,Parade,LED,147.283281904374,-42.8673020322877,18
8,Susan,Parade,LED,147.283441147307,-42.8679349532976,18
9,Athleen,Avenue,LED,147.285638535077,-42.8658074132462,18
10,Lenah Valley,Road,HPS,147.286055020503,-42.8614134542864,150
11,Creek,Road,HPS,147.289183538752,-42.8611347996033,150
12,Creek,Road,HPS,147.289147936828,-42.8599748148002,150
13,Creek,Road,HPS,147.2893587213,-42.8593421910389,150
14,Creek,Road,HPS,147.289654083217,-42.859052364943,150
15,Creek,Road,HPS,147.29027026415,-42.8586044205196,150
16,Creek,Road,HPS,147.294706822848,-42.8549545465499,150
17,Alwyn,Road,CFL,147.281090371901,-42.8585287981572,42
18,Monash,Avenue,LED,147.281736427607,-42.8592332261878,18
19,Monash,Avenue,CFL,147.28175167145,-42.859656807194,42
20,Stratton,Avenue,LED,147.277740906844,-42.8602107970845,18
21,Baldwin,Place,LED,147.277685394443,-42.8593476742882,18
22,Girrabong,Road,LED,147.276458651485,-42.8576419581184,18
23,Firth,Road,LED,147.279319646896,-42.8590456235332,14
24,Cowley,Place,CFL,147.280531859633,-42.859240596472,42
25,Alcides,Avenue,LED,147.28077590125,-42.8631815287015,18
26,Girrabong,Road,LED,147.280678002992,-42.8617649019204,18
27,Pottery,Road,LED,147.286982946659,-42.8684503013836,18
28,McRobies,Road,LED,147.29464744648,-42.8930450639184,18
29,Huon,Road,LED,147.284723331613,-42.9045012760451,18
30,Suncrest,Avenue,LED,147.290980171359,-42.8639246252894,18
31,Yelgun,Place,LED,147.28026730956,-42.8625256040869,18
32,Creek,Road,HPS,147.288981572365,-42.8623794971135,150
33,Daly,Street,LED,147.275571768074,-42.8640962961881,14
34,Broadby,Drive,CFL,147.287690308144,-42.8724196774526,42
35,Cuthbertson,Place,CFL,147.287544821779,-42.8714837545249,42
36,Alwyn,Road,CFL,147.282304592258,-42.8614896542444,42
37,Pottery,Road,HPS,147.288770654601,-42.8630679530352,150
38,Doyle,Avenue,HPS,147.294971586878,-42.867845861776,250
39,Rosehill,Crescent,LED,147.287940565584,-42.8694678360967,18
40,Creek,Road,HPS,147.293406647594,-42.8557012830459,150
41,Keith White,Crescent,LED,147.294160153182,-42.8723543749775,18
42,Sharps,Road,LED,147.284511579396,-42.8627309120983,18
43,Sharps,Road,LED,147.283658376408,-42.8632206659703,18
44,Truman,Avenue,LED,147.289981450719,-42.863771457516,18
45,Nursery,Court,LED,147.282546585944,-42.8720195043894,18
46,Augusta,Road,HPS,147.293939879682,-42.8648144789286,150
47,Creek (St Johns Pk),Road,LED,147.294940032868,-42.8549860139621,18
48,Lenah Valley,Road,LED,147.269875622009,-42.8666879812543,18
49,Creek,Road,OTHER,147.288888426537,-42.8621088194452,0
50,Kalang,Avenue,HPS,147.279652495841,-42.8613129947815,150
51,Kalang,Avenue,LED,147.276307802166,-42.8622434471387,18
52,Lenah Valley,Road,HPS,147.285549762477,-42.861420830099,150
53,Lenah Valley,Road,LED,147.278049752728,-42.8658071649084,18
54,Lenah Valley,Road,HPS,147.278049752768,-42.8658071739135,400
55,Susan,Parade,LED,147.284486490733,-42.8661635592144,18
56,Alwyn,Road,HPS,147.283124636144,-42.8595832690714,150
57,Stratton,Avenue,LED,147.276824779995,-42.8605091641207,18
58,Stratton,Avenue,LED,147.276888265556,-42.8601428910056,18
59,Pickard,Street,LED,147.293937136524,-42.8625512477543,18
60,Lenah Valley,Road,HPS,147.279326183919,-42.8655139704361,250
61,Brushy Creek,Road,LED,147.279344569905,-42.8694802792952,18
62,Lenah Valley,Road,LED,147.282135622492,-42.8634270476165,18
63,Augusta,Road,LED,147.293425278362,-42.8643874980382,75
64,Cuthbertson,Place,CFL,147.288616473557,-42.8708044639919,42
65,Jeannette,Court,LED,147.281986765375,-42.865807059316,18
66,Jane,Court,CFL,147.284635655137,-42.8678888996341,42
67,Edge,Avenue,LED,147.291650838241,-42.8658477106527,18
68,Kalang,Avenue,LED,147.276587472763,-42.8622280031883,18
69,Athleen,Avenue,LED,147.285628146344,-42.8646347606538,18
70,Bealey,Avenue,LED,147.284624834497,-42.8638095643782,18
71,Creek,Road,HPS,147.290158567733,-42.8587193231576,150
72,Giblin,Street,LED,147.294123563938,-42.8704734361153,18
