Street,Lamp type,Longitude,Latitude,Wattage,Annual savings,Pole cost,Payback (years),Implementation year
Morrison Street,HPS,147.331752,-42.884407,150,219.0,8000,36.52968037,1
Morrison Street,MV,147.331752,-42.884407,400,584.0,8000,13.69863014,1
Morrison Street,HPS,147.332233,-42.883755,250,365.0,8000,21.91780822,1
Morrison Street,LED,147.332606,-42.88324,175,255.5,8000,31.3111546,1
Morrison Street,HPS,147.331598,-42.884261,250,365.0,8000,21.91780822,1
Morrison Street,HPS,147.33206,-42.883962,250,365.0,8000,21.91780822,1
Morrison Street,MV,147.331913,-42.884158,400,584.0,8000,13.69863014,1
Morrison Street,HPS,147.331913,-42.884158,250,365.0,8000,21.91780822,1
Salamanca Place,LED,147.336674,-42.887039,14,20.44,8000,391.3894325,1
Salamanca Place,MV,147.336041,-42.8869,80,116.8,8000,68.49315068,1
Salamanca Place,HPS,147.330599,-42.886332,400,584.0,8000,13.69863014,1
Salamanca Place,LED,147.337226,-42.887301,14,20.44,8000,391.3894325,1
Salamanca Place,HPS,147.330186,-42.885936,400,584.0,8000,13.69863014,1
Salamanca Place,HPS,147.33136000000005,-42.88631,250,365.0,8000,21.91780822,1
Salamanca Place,HPS,147.330382,-42.886207,400,584.0,8000,13.69863014,1
Salamanca Place,HPS,147.330382,-42.886207,400,584.0,8000,13.69863014,1
Salamanca Place,HPS,147.329791,-42.885882,400,584.0,8000,13.69863014,1
Salamanca Place,HPS,147.329245,-42.885541,400,584.0,8000,13.69863014,1
Salamanca Place,HPS,147.329019,-42.885231,400,584.0,8000,13.69863014,1
Salamanca Place,HPS,147.329708,-42.885651,400,584.0,8000,13.69863014,1
Elizabeth Street,HPS,147.318318,-42.876026,400,584.0,8000,13.69863014,1
Elizabeth Street,HPS,147.315915,-42.873556,250,365.0,8000,21.91780822,1
Elizabeth Street,HPS,147.31723300000004,-42.874691,250,365.0,8000,21.91780822,1
Elizabeth Street,HPS,147.319042,-42.877757,250,365.0,8000,21.91780822,1
Elizabeth Street,HPS,147.319042,-42.877757,70,102.2,8000,78.2778865,1
Elizabeth Street,HPS,147.318795,-42.877321,250,365.0,8000,21.91780822,1
Elizabeth Street,HPS,147.311963,-42.868143,250,365.0,8000,21.91780822,1
Elizabeth Street,HPS,147.314449,-42.872108,250,365.0,8000,21.91780822,1
Elizabeth Street,HPS,147.315245,-42.873104,250,365.0,8000,21.91780822,1
Elizabeth Street,HPS,147.317632,-42.87538,250,365.0,8000,21.91780822,1
Elizabeth Street,HPS,147.316849,-42.874306,250,365.0,8000,21.91780822,1
Elizabeth Street,HPS,147.31686000000005,-42.874557,250,365.0,8000,21.91780822,1
Elizabeth Street,HPS,147.319548,-42.87784600000001,250,365.0,8000,21.91780822,1
Elizabeth Street,HPS,147.33244399999995,-42.883592,250,365.0,8000,21.91780822,1
Elizabeth Street,HPS,147.311644,-42.870357,250,365.0,8000,21.91780822,1
Elizabeth Street,HPS,147.315208,-42.872909,250,365.0,8000,21.91780822,1
Elizabeth Street,HPS,147.321573,-42.878703,250,365.0,8000,21.91780822,1
Elizabeth Street,HPS,147.31182900000005,-42.868749,250,365.0,8000,21.91780822,1
Elizabeth Street,HPS,147.33109299999995,-42.88308,250,365.0,8000,21.91780822,1
Elizabeth Street,HPS,147.33109299999995,-42.88308,250,365.0,8000,21.91780822,1
Elizabeth Street,HPS,147.319298,-42.87769,250,365.0,8000,21.91780822,1
Elizabeth Street,HPS,147.319298,-42.87769,400,584.0,8000,13.69863014,1
Elizabeth Street,HPS,147.329033,-42.88224,250,365.0,8000,21.91780822,1
Elizabeth Street,HPS,147.319299,-42.877957,250,365.0,8000,21.91780822,1
Elizabeth Street,HPS,147.32409099999995,-42.879865,250,365.0,8000,21.91780822,1
Elizabeth Street,HPS,147.324717,-42.880171,250,365.0,8000,21.91780822,1
Elizabeth Street,HPS,147.3148,-42.872468,250,365.0,8000,21.91780822,1
Elizabeth Street,HPS,147.31723200000005,-42.874932,250,365.0,8000,21.91780822,1
Elizabeth Street,HPS,147.318515,-42.876762,250,365.0,8000,21.91780822,1
Elizabeth Street,HPS,147.31361299999998,-42.871298,250,365.0,8000,21.91780822,2
Elizabeth Street,HPS,147.325494,-42.880628,250,365.0,8000,21.91780822,2
Elizabeth Street,HPS,147.329703,-42.882392,250,365.0,8000,21.91780822,2
Elizabeth Street,HPS,147.318203,-42.876237,250,365.0,8000,21.91780822,2
Elizabeth Street,HPS,147.312258,-42.870724,250,365.0,8000,21.91780822,2
Elizabeth Street,HPS,147.311729,-42.869397,250,365.0,8000,21.91780822,2
Elizabeth Street,HPS,147.315497,-42.873339,250,365.0,8000,21.91780822,2
Elizabeth Street,HPS,147.316379,-42.87393,250,365.0,8000,21.91780822,2
Elizabeth Street,HPS,147.320425,-42.878327,250,365.0,8000,21.91780822,2
Elizabeth Street,HPS,147.32116399999995,-42.878651,250,365.0,8000,21.91780822,2
Elizabeth Street,HPS,147.322205,-42.878982,250,365.0,8000,21.91780822,2
Elizabeth Street,HPS,147.322439,-42.879243,250,365.0,8000,21.91780822,2
Elizabeth Street,HPS,147.332496,-42.883802,250,365.0,8000,21.91780822,2
Elizabeth Street,HPS,147.311343,-42.86995200000001,250,365.0,8000,21.91780822,2
Elizabeth Street,HPS,147.315946,-42.873676,250,365.0,8000,21.91780822,2
Elizabeth Street,HPS,147.314066,-42.871854,250,365.0,8000,21.91780822,2
Elizabeth Street,HPS,147.31796699999995,-42.875566,250,365.0,8000,21.91780822,2
Elizabeth Street,HPS,147.318558,-42.876459,250,365.0,8000,21.91780822,2
Elizabeth Street,HPS,147.31198899999995,-42.86894,250,365.0,8000,21.91780822,2
Elizabeth Street,LED,147.329936,-42.88270900000001,240,350.4,8000,22.83105023,2
Elizabeth Street,HPS,147.329936,-42.88270900000001,250,365.0,8000,21.91780822,2
Elizabeth Street,HPS,147.31899199999995,-42.877265,250,365.0,8000,21.91780822,2
Elizabeth Street,HPS,147.316468,-42.874177,250,365.0,8000,21.91780822,2
Elizabeth Street,HPS,147.312136,-42.868629,250,365.0,8000,21.91780822,2
